nbd_ID|nbd|ID|location|category|comment|neighborhood|project_id
CW23|CW|23|Windmill St School|Unused building|Closed for years, vacant, could be put to better use. Housing? Or other uses? Not earning tax money. Eye Sore.|Charles - Wanskuck|#N/A
DT1|DT|1|Point St @ Eddy St|Traffic Ops, Safety|Difficult to cross. Unclear on where pedestrians should cross  and [when] it is safe. Traffic signal not timed for pedestrians|Downtown|143
DT2|DT|2|General|Sidewalk maintenance|Trees pushing up sidewalk.|Downtown|General
DT3|DT|3|Richmond St @ Clifford St|Lighting|[Request for] pedestrian scale lighting along City Walk.|Downtown|3
DT4|DT|4|Pine St|Safety, traffic ops|Extremely dangerous speeds; vehicles dont come to complete stops @ stop signs.|Downtown|5
DT5|DT|5|Friendship St|Safety, traffic calming, parking|Extremely dangerous, vehicles do not come to a complete stops @ stop signs. [People use] parking lanes as travel lanes, parking is not apparent.|Downtown|4
DT6|DT|6|Jacqueline Clements Park|Illegal activity|Attracts users (from outside the community) of drugs and substance abuse; within the sight of children. This is along the City Walk path.|Downtown|0
DT7|DT|7|Providence Pl @ Harris Ave|Pot hole, Maintenance|[Pot] holes in street and on bridge at the end of Providence Place Street. Hole repaired with metal plate, but plates keep moving.|Downtown|100
DT8|DT|8|John J Partington Way|Pot hole, Maintenance|John J Partington Way near police station, Asphalt 3-4 inches [which causes] bad jolt to car, high ridge.|Downtown|Other intersection
DT9|DT|9|Charles St @ Randall St|Geometry, Safety.|Intersection is complicated. Hard to know when cars are going and if they will stop [as cyclist].|Downtown|103
DT10|DT|10|Providence Pl @ I-95 underpass|Cleanliness|All kinds of trash and debris.|Downtown|100
DT11|DT|11|Bassett St @ Chestnut St|Maintenance|Street is years overdue for improvement. Needs complete reconstruction. Utility company is aware but, says its not (interpreted as) [their responsibility].|Downtown|Other intersection
DT12|DT|12|I 95 @ Brownell St|Crossing|Pedestrian and bike bridge needed over highway.|Downtown|New project
DT13|DT|13|Spruce to Harris over US Rt 6|Crossing|Pedestrian and bike bridge needed over highway.|Downtown|New project
DT14|DT|14|Memorial Blvd @ College/Westminster St|Traffic Calming|Traffic calming @ Memorial Blvd @ College/Westminster. Protected bike lane along Memorial Blvd.|Downtown|126
DT15|DT|15|Dyer St|Crossing, Traffic Ops|On Dyer St by the new Wexford development, stop sign needed to cross to/from the park and bridge.|Downtown|Uncertain location
DT16|DT|16|Fountain Street|Cyclist Safety|Interpreted as [Would] like protected lane, but should be longer and more protected with planters, and [highlighted with] green bike lane paint.|Downtown|Corridor
DT17|DT|17|Chestnut St|Sidewalk, maintenance|Sidewalk broken and in disrepair.|Downtown|18
EMM1|EMM|1|Basswood Ave @ Mt Pleasant Ave|Wayfinding|Not good signage for Rhode Island College (RIC)  need signs on side streets near RIC [to inform drivers] that there is no access to RIC from Basswood.|Elmhurst  Mt. Pleasant  Manton|1
EMM2|EMM|2|Veazie St|Crossing|Need crosswalk by the library.|Elmhurst  Mt. Pleasant  Manton|122
EMM3|EMM|3|Chalkstone Ave @ Academy Ave|Wayfinding|Need better signs and enforcement to keep people from parking too close to the crosswalk, narrow.|Elmhurst  Mt. Pleasant  Manton|25
EMM4|EMM|4|Dean St @ US Rt 6|Crossing|Dean street! Impossible to walk across entrance to 6/10 connector.|Elmhurst  Mt. Pleasant  Manton|7
EMM5|EMM|5|Mt Pleasant Ave|Speeding|Speeding issues on Mt Pleasant.|Elmhurst  Mt. Pleasant  Manton|1
EMM6|EMM|6|Smith St|Speeding|Speeding on Smith St.|Elmhurst  Mt. Pleasant  Manton|23
EMM7|EMM|7|Smith St @ Longwood Ave|Crossing|#57 bus stops near side of intersections, crosswalk is on wrong side of the intersections to Smith St or bus stop should move to far side of the crosswalk.|Elmhurst  Mt. Pleasant  Manton|Other intersection
EMM8|EMM|8|Eaton St @ Smith St|Pedestrian Safety|Dangerous for pedestrians & cars  no clear crosswalk and cars dont look for pedestrians.|Elmhurst  Mt. Pleasant  Manton|Other intersection
EMM9|EMM|9|Burns St|Traffic ops|Burns St is one way, but stop bar @ stop signs only goes half way across street  makes it appear 2 way and encourages wrong way driving.|Elmhurst  Mt. Pleasant  Manton|Corridor
EMM10|EMM|10|Smith St @ Oakland Ave|Geometry|2 lanes east and one west  west should also be split into two  cars turn left hold up traffic|Elmhurst  Mt. Pleasant  Manton|23
EMM11|EMM|11|Pleasant Valley Parkway|Pedestrian Comfort|Need benches on Pleasant Valley Parkway|Elmhurst  Mt. Pleasant  Manton|28
EMM12|EMM|12|Pleasant Valley Parkway @ Nelson and Academy|Flooding|Flooding of Pleasant Valley Parkway  esp. by Academy/Nelson|Elmhurst  Mt. Pleasant  Manton|28
EMM13|EMM|13|Pleasant Valley Parkway|Cleanliness|Need to get people to pick up dog poop.|Elmhurst  Mt. Pleasant  Manton|0
EMM14|EMM|14|Smith St. @ Quincy St|Utilities|Bury power line on Smith St.|Elmhurst  Mt. Pleasant  Manton|Other intersection
EMM15|EMM|15|Mt Pleasant Ave @ Cathedral Ave|Traffic Ops, Geometry|Cathedral Ave should be dead ended|Elmhurst  Mt. Pleasant  Manton|1
EMM16|EMM|16|Mt Pleasant Ave|Speeding, Safety|Needs to be reimagined to make bike/ped/micro mobility option safer  care speeding issues.|Elmhurst  Mt. Pleasant  Manton|1
EMM17|EMM|17|Gentian Ave|Speeding|Need speed reduction, esp. near curve near Ravenswood. People go too fast in cars.|Elmhurst  Mt. Pleasant  Manton|Corridor
EMM18|EMM|18|Ravenswood Ave|Geometry|Ravenswood is one way  should be two way or signed better to make one way clear.|Elmhurst  Mt. Pleasant  Manton|Corridor
EMM19|EMM|19|Gentian Ave @ Hillside Dr|Geometry|Intersection very wide.|Elmhurst  Mt. Pleasant  Manton|Other intersection
EMM20|EMM|20|Gentian Ave @ Isabella Ave|Safety|Cars dont stop at stop sign.|Elmhurst  Mt. Pleasant  Manton|Other intersection
EMM21|EMM|21|Academy Ave @ Smith St|Congestion|Very congested, parking on both sides makes it very narrow|Elmhurst  Mt. Pleasant  Manton|24
EMM22|EMM|22|Smith St|Active Transportation|Smith St needs bike lanes, trees, etc. Needs to be 100% micro mobility accessible.|Elmhurst  Mt. Pleasant  Manton|23
EMM23|EMM|23|Douglas Ave @ River Ave|Congestion, Traffic Ops|Busy intersections, L-turn onto dangles is obstructed by fence. Traffic Light?|Elmhurst  Mt. Pleasant  Manton|Other intersection
EMM24|EMM|24|Mt Pleasant Ave @ Cathedral Ave|Crossing|Crosswalks not ADA accessible|Elmhurst  Mt. Pleasant  Manton|1
EMM25|EMM|25|Pembroke St @ Amity St|Maintenance|Paving is terrible! 3 foot closest to the curb are totally wrenched so I ride in the street instead of on the edge.|Elmhurst  Mt. Pleasant  Manton|Corridor
EMM26|EMM|26|Pembroke Ave|Maintenance|This whole area is poorly paved and full of holes. Pembroke, Oakland, and Radcliff.|Elmhurst  Mt. Pleasant  Manton|Area
EMM27|EMM|27|Branch Ave @ Woodward Rd|Traffic Calming|So congested! Very narrow bridge @ Wanskuck building. People pass through here to detour. Makes it hard to pass through on a bike because its so congested|Elmhurst  Mt. Pleasant  Manton|Other intersection
EMM28|EMM|28|Roslyn Ave @ Fairoaks Ave|Parking|People park @ corners which makes it, so you cant see. Lots of crashes at that intersection. Double parking on both sides of Roslyn.|Elmhurst  Mt. Pleasant  Manton|Corridor
FH1|FH|1|Broadway @ John J Partington (Service Rd 1)|Traffic Calming|The bike lane vanishes! + Traffic calming.|Federal Hill|105
FH2|FH|2|Broadway @ Knight St|Geometry|Knight is very narrow, too narrow for street parking. Would be much better served by having usable sidewalks.|Federal Hill|99
FH3|FH|3|Cranston St @ Cahir St|Traffic Calming|Traffic calming.|Federal Hill|Other intersection
FH4|FH|4|Westminster St|Traffic Calming|Traffic calming.|Federal Hill|Corridor
FH6|FH|6|Empire St @ Weybosset St|Geometry, Safety|No safe way for bikes to go straight/left @ Empire + Weybosset coming up the hill. Interpreted as  on empire headed south. |Federal Hill|82
FH7|FH|7|St Johns's Park|Maintenance|Sidewalks/Snow-Ice St Johns Park.|Federal Hill|Area
FH8|FH|8|Memorial Blvd @ Westminster St|Traffic Ops|Good place for bikes to go from downtown to S Main, BUT the signals are not sensitive to bikes and lights dont change w/out cars!|Federal Hill|126
FH9|FH|9|W Fountain St @ Battey St|Crossing|Stop signs needed!|Federal Hill|Other intersection
FH10|FH|10|Grove St @ Almy St|Crossing|Stop signs needed!|Federal Hill|Other intersection
FH11|FH|11|Courtland St @ Carpenter St|Traffic Calming, Crossing|Traffic calming for cut through from Westminster to Atwells including: Almay, Cortland, Marshall, Vinton, Sutton, American.|Federal Hill|Area
FH12|FH|12|Ridge St @ Franciscan Park|Parking, Safety|One way behind high rise, cars park in unsafe area, making it very unsafe for bike riders.|Federal Hill|Corridor
FH13|FH|13|Broadway @ Courtland St|Crossing, Pedestrian Safety|Crossing Broadway is extremely difficult for pedestrians. Esp at Vinton, Cortland, Dean, etc.|Federal Hill|105
FH14|FH|14|Messer St @ Marvin St|Traffic Calming|Those planters, though. On Messer. Lets make a plan to remove those jugs & do alternative traffic calming|Federal Hill|Other intersection
FH15|FH|15|Sycamore St @ Hudson St|Traffic Calming|Those planters (again). Crosswalk @ Sycamore & Hudson. All 4 -> painted, noted, super visible to traffic pls.|Federal Hill|Other intersection
FH16|FH|16|Westminster St @ Parade St|Traffic Ops, Pedestrian Safety|Pedestrian assistance for most crossing on Westminster esp. Courtland, Tobey etc.|Federal Hill|Corridor
FH17|FH|17|Atwells Ave @ Dean St|Geometry|Difficult vehicle turns, and large intersections makes it difficult for peds to cross.|Federal Hill|7
FH18|FH|18|Knight St @ Grant St|Geometry, Pedestrian Safety|Vehicles speed along Knight, and with tow way traffic and cars parked on one side, its dangerous for pedestrians. Consider making it one-way SB with dedicated parking on one side and a posted lower speed limit.|Federal Hill|99
FH19|FH|19|A St @ Cranston St|Access |Reconnect A st street and repair|Federal Hill|54
FH20|FH|20|Atwells Ave @ Eagle St|Geometry|Reconfigure intersection to make less complex.|Federal Hill|98
FH21|FH|21|Westminster St @ Cathedral Square|Geometry|Reconnect Westminster! *yes!|Federal Hill|Other intersection
FH22|FH|22|Washington St @ John J Partington (Service Rd 1)|Geometry|Reduce service roads to 2 lanes max.|Federal Hill|Corridor
FH23|FH|23|Carpenter St @ Ringgold St|Intersection Control|Stop signs needed on corners of Ringgold  Carpenter  Cargill Streets. Ringgold is used as a cut through needs to stop speeding.|Federal Hill|Other intersection
FH26|FH|26|Bainbridge Ave|Traffic calming|Traffic calming.|Federal Hill|Corridor
FH27|FH|27|Knight St @ Ring St|Geometry|Knight street as two way, providing connection to Atwells/Valley from West End.|Federal Hill|99
FH29|FH|29|Dean St @ Kenyon St|Geometry|Applies to most weirdly angled intersections in the city but -> square up intersections/reduce radii to eliminate 50 crosswalks at intersections of 2 lane roads.|Federal Hill|General
FH30|FH|30|Broadway @ Westminster St|Geometry, Traffic Ops|Everything about this wonky, double 4-way intersections needs to be revised. |Federal Hill|105
FH31|FH|31|Cranston St @ Dodge St|Geometry|Cranston is super wide between Citizen/Armory is really wide  bike facility.|Federal Hill|54
FH32|FH|32|Federal St @ Barker St|Geometry|Of  so much. ONE WAY, parking, potholes, snow removal,  .. ya know what? Just call me 401  573  5404. I dont have enough room here.|Federal Hill|Corridor
FCW1|FCW|1|Ship St @ Dyer St|Developmental Opportunity|Absence of the Ship Street Canal where highway came through was supposed to have place between Jewelry District and Downtown  cafes, restaurants, river walk. Concept never implemented. Strongly endorsed by community but still a bunch of empty lots. Can be a fabulous addition to the city and state. |Fox Point  College Hill  Wayland|Area
FCW2|FCW|2|Ship St @ Richmond St|Developmental Opportunity|Absence of the Ship Street Canal where highway came through was supposed to have place between Jewelry District and Downtown  cafes, restaurants, river walk. Concept never implemented. Strongly endorsed by community but still a bunch of empty lots. Can be a fabulous addition to the city and state.|Fox Point  College Hill  Wayland|#N/A
FCW3|FCW|3|Ship St @ Clifford St|Developmental Opportunity|Absence of the Ship Street Canal where highway came through was supposed to have place between Jewelry District and Downtown  cafes, restaurants, river walk. Concept never implemented. Strongly endorsed by community but still a bunch of empty lots. Can be a fabulous addition to the city and state.|Fox Point  College Hill  Wayland|#N/A
FCW4|FCW|4|Memorial Blvd @ Exchange Terrace|Crossing|Have to cross Memorial Blvd to get to Riverwalk.|Fox Point  College Hill  Wayland|#N/A
FCW5|FCW|5|Memorial @ Custom House St|Crossing|Have to cross Memorial Blvd to get to Riverwalk.|Fox Point  College Hill  Wayland|126
FCW6|FCW|6|Gano St @ India St|Maintenance, Safety|Hairpin turn needs improvement  creepy & scary  dirty, vacancy, broken sidewalks, no lights  |Fox Point  College Hill  Wayland|#N/A
FCW7|FCW|7|Point St @ SB I95 Service Road|Safety, Crossing|Unsafe pedestrian crossing; all double lanes. Pedestrians must run across.|Fox Point  College Hill  Wayland|12
FCW8|FCW|8|Benefit St @ Benevolent St|Crossing|Crosswalk is wide. Cars accelerate uphill  dangerous for crossing peds. There are blind spots as well.|Fox Point  College Hill  Wayland|Other intersection
FCW9|FCW|9|Goulding St @ Wickenden St|Potholes, maintenance|Goulding  alleyway with pot holes. Plowing needs to be for everyone. No parking sign, (interpreted as) [current sign blocked by neighbors tree].|Fox Point  College Hill  Wayland|60
FCW10|FCW|10|River Rd|Parking|Parking problem, no parking spaces. People want to enjoy the view.|Fox Point  College Hill  Wayland|Unknown location
FCW11|FCW|11|Governor @ Wickenden St|Geometry, traffic ops|Traffic circle removed. What was put in place does not make sense. Awkward gap from Governor to Wickenden. Confusion on who has R.O.W.|Fox Point  College Hill  Wayland|Corridor
FCW12|FCW|12|South Main St @ Wickenden St|Geometry, traffic ops|Three stop lights. Circuitous route to I95, bad turn movement, illegal turns for convenient access to I95 should be tickets for illegal lefts turns (city would make a lot of money)|Fox Point  College Hill  Wayland|Unknown location
FCW13|FCW|13|Ives @ Williams|Crossing|Pedestrian crossing in congested areas. No real attention for safety  [driver] dont look.|Fox Point  College Hill  Wayland|127
FCW14|FCW|14|Doyle Ave|Cleanliness|Very wide and windy. Trash accumulates along street from dump trucks during trash pickup. May be other contributing factors.|Fox Point  College Hill  Wayland|127
FCW15|FCW|15|South Main St|Crossing|(interpreted as) [Crossing is challenging around RISD at all intersections south of college]|Fox Point  College Hill  Wayland|Other intersection
FCW16|FCW|16|Gano St|Crossing|Hard to cross; fast traffic|Fox Point  College Hill  Wayland|42
MHB1|MHB|1|Hope St @ Blackstone |Crossing|Complicated/indirect ped crossing|Mt. Hope  Hope - Blackstone|Other intersection
MHB2|MHB|2|Branch Ave @ North Main St|Pedestrian Issues, Traffic Ops|Ped issues back of connection; light doesnt work efficiently|Mt. Hope  Hope - Blackstone|109
MHB3|MHB|3|North Main St @ Cemetery St|Speeding, Control|Speeding, stop sign|Mt. Hope  Hope - Blackstone|44
MHB4|MHB|4|Camp St between Doyle Ave and Pleasant Street|Cyclist Safety|Bad for cyclists|Mt. Hope  Hope - Blackstone|43
MHB5|MHB|5||Maintenance|Potholes, speeding, noisy vehicles crosswalks|Mt. Hope  Hope - Blackstone|Unknown location
MHB6|MHB|6|Cypress St between Camp St and Ivy St|Speeding behavior|Speeding|Mt. Hope  Hope - Blackstone|Corridor
MHB7|MHB|7|Firglade Ave @ Elgin St|Safety, Maintenance|Illegal activity, plowing issues|Mt. Hope  Hope - Blackstone|Other intersection
MHB8|MHB|8|Summit Ave @ Edgehill Rd|Speeding Behavior|Speeding|Mt. Hope  Hope - Blackstone|Other intersection
MHB9|MHB|9|Rochambeau Ave between Hope St and Elmgrove Ave|Speeding Behavior|Speeding, needs crosswalk|Mt. Hope  Hope - Blackstone|128
MHB10|MHB|10|Hope St @ Carrington Ave|Crossing, Maintenance|Potholes, speeding, crosswalk safety|Mt. Hope  Hope - Blackstone|40
MHB11|MHB|11|Butler Ave @ Blackstone Blvd |Crossing|Choke point causes issues for multiple modes|Mt. Hope  Hope - Blackstone|63
MHB12|MHB|12|Morris Ave between Savoy St and Rochambeau Ave|Maintenance, Cyclist Safety|Dangerous for biking (badly patched/paved)|Mt. Hope  Hope - Blackstone|129
MHB13|MHB|13|SB on Hope St|Behavior|Bikes slow, cars speed up|Mt. Hope  Hope - Blackstone|Corridor
MHB14|MHB|14|WB on Doyle Ave @ North Main St|Crossing|Choke point, confusion|Mt. Hope  Hope - Blackstone|43
MHB15|MHB|15|N. Main @ Doyle Ave, esp. at rush hour|Crossing|Choke point, confusion|Mt. Hope  Hope - Blackstone|43
MHB16|MHB|16|Olney St between N. Main St to Hope St|Cyclist Safety, Geometry |Middle bike lane is dangerous, referring to eastern end of bike lane near Hope Street. Only part where bike near not near to curb.|Mt. Hope  Hope - Blackstone|45
MHB17|MHB|17|Blackstone Blvd|Maintenance|Paving in poor condition|Mt. Hope  Hope - Blackstone|Corridor
MHB19|MHB|19|Henderson Bridge|Traffic Ops|Impatient drivers impede access to Henderson Bridge|Mt. Hope  Hope - Blackstone|Corridor
MHB20|MHB|20|Hope St between Rochambeau Ave + Pawtucket|Traffic Ops, Maintenance|Lack of hard stop on Hope between Roch + Pawtucket uprooted sidewalks impede pedestrian movement|Mt. Hope  Hope - Blackstone|Corridor
MHB21|MHB|21|Angell St @ Governor St|Geometry|Angell narrowing could be more elegant|Mt. Hope  Hope - Blackstone|Other intersection
MHB22|MHB|22|Thayer St @ Meeting St|Geometry|Narrow sidewalk|Mt. Hope  Hope - Blackstone|Other intersection
MHB23|MHB|23|Elmgrove Ave @ Angell St|Parking |Choke point causes ped issues (+ vehicle) including double parked cars|Mt. Hope  Hope - Blackstone|Other intersection
MHB24|MHB|24|Rochambeau Ave @ Cole Ave|Crossing, Behavior|Blowing STOP sign|Mt. Hope  Hope - Blackstone|Other intersection
MHB25|MHB|25|Canal St @ Park Row|Pedestrian Safety|Oncoming traffic makes ped traffic perilous|Mt. Hope  Hope - Blackstone|120
MHB26|MHB|26|Branch Ave @ West River St|Pedestrian|Ped as well as vehicle issues (major)  near to Saver shop.|Mt. Hope  Hope - Blackstone|104
MHB27|MHB|27|Camp St @ Abbott St |Traffic Ops|Activation|Mt. Hope  Hope - Blackstone|Other intersection
MHB28|MHB|28|Elmgrove Ave  @ Blackstone Blvd |Speeding Behavior|Cars speed through curve + same issue on entrance to Swan St ped issue mainly (all modes).|Mt. Hope  Hope - Blackstone|Other intersection
MHB29|MHB|29|Gano St @ Amy St|Cyclist Safety|Tough for biking.|Mt. Hope  Hope - Blackstone|Other intersection
MHB30|MHB|30|Branch Ave @ I95|Crossing|Every crossing difficult  speeding etc.|Mt. Hope  Hope - Blackstone|109
MHB31|MHB|31|Lloyd Ave @ Broad St and Hope St|Geometry, Traffic ops|Hard to navigate.|Mt. Hope  Hope - Blackstone|137
MHB32|MHB|32|Benefit St |Lighting|Needs lighting.|Mt. Hope  Hope - Blackstone|Corridor
MHB33|MHB|33|Summit Commons |Built Environment, Access|Summit commons parking lot is barrier for bike/ped (connection path?).|Mt. Hope  Hope - Blackstone|Area
MHB34|MHB|34|Olney St @ N. Main St|Geometry|Eliminate the slip lane at Olney + N. Main. It is dangerous to peds.|Mt. Hope  Hope - Blackstone|45
MHB35|MHB|35|Summit Ave and 7th St|Parking|Miriam Hospital needs to build parking decks at the R.I Auditorium site and return the surface parking lots on both sides of Summit Ave to house lots.|Mt. Hope  Hope - Blackstone|Other intersection
OV1|OV|1|Florence St @ Amherst St|Crossings|Cars dont stop, very dangerous to cross. Walking school bus locations.|Olneyville - Valley|Other intersection
OV2|OV|2|Atwells Ave @ Bowdoin St|Geometry, Crossings|Large intersection with lights, difficult to see, dont feel safe driving through. Walking school bus location. Crossings challenging.|Olneyville - Valley|0
OV3|OV|3|Westminster St @ Stokes St|Crossings, Maintenance|Crosswalks are fading, trash is abundant.|Olneyville - Valley|Other intersection
OV4|OV|4|Harris Ave |Crossings|Dangerous to cross on ramps from Dean St to Rt. 6/10.|Olneyville - Valley|7
OV5|OV|5|Messer St|Emergency Access|Trees planted in a square bed on Messer St and Sycamore near a fire station  concern about traffic impeding emergency vehicles.|Olneyville - Valley|Corridor
OV6|OV|6|Steuben St between Manton and Amherst|Pedestrian Access|Missing sidewalks.|Olneyville - Valley|Corridor
OV7|OV|7|Glenbridge Ave @ Woonasquatucket River|Bike Access|State bridge should include separated bike facility from Adventure Park to Button Hole Drive.|Olneyville - Valley|71
OV8|OV|8|Valley St @ Donigian Park|Crossings|Add raised crosswalk to Donigian Park.|Olneyville - Valley|139
OV9|OV|9|Aleppo St @ Woony Greenway|Traffic Calming|Add raised crosswalk to park or speed bumps to reduce travel speeds.|Olneyville - Valley|110
OV10|OV|10|Sheridan St @ King St|Greenery|Add street trees.|Olneyville - Valley|141
OV11|OV|11|Douglas Ave|Connectivity|Connect Douglas Ave to Francis St.|Olneyville - Valley|New project
OV12|OV|12|Manton Ave across from Tanyard Ln|Bike Access|Take bikes off Manton Ave and put next to River in commercial parking area and continue to each medical lot.|Olneyville - Valley|10
OV13|OV|13|Heath St north of Hartford Ave|Traffic Calming|Add sidewalks and speed bumps to Heath St going into Merino Park.|Olneyville - Valley|117
OV14|OV|14|Magnolia St @ 6/10 Connector|Connectivity|Connect Magnolia St across 6/10 Connector.|Olneyville - Valley|88
OV15|OV|15|Promenade St|Bike Access, Streetscape|Remove travel lane off Promenade and add a separated bikeway. Add green infrastructure, cafes, places to gather, build community.|Olneyville - Valley|100
OV16|OV|16|Kinsley Ave @ Eagle St|Traffic Calming|Cars run stop signs, need speed bumps to slow cars on curve.|Olneyville - Valley|131
OV17|OV|17|San Souci Dr west of Valley St|Parking|We need parking, but does it have to be in the middle of a major square?|Olneyville - Valley|17
OV18|OV|18|San Souci Dr @ Manton Ave|Bike Access|Add bike infrastructure on Manton.|Olneyville - Valley|10
OV19|OV|19|Salmon St south of Manton Ave|Streetscape|Add street trees, remove graffiti, add entrance to Woonasquatucket greenway.|Olneyville - Valley|118
OV20|OV|20|Sheridan St @ Woonasquatucket Greenway|Streetscape|Add street trees, remove graffiti, add entrance to Woonasquatucket greenway.|Olneyville - Valley|141
OV21|OV|21|Bowdoin St south of Amherst|Streetscape, Pedestrian Access|Add trees. Need access to bike path and cleaner/safer sidewalks.|Olneyville - Valley|Corridor
OV22|OV|22|Promenade and Kinsley Ave @ Francis St|Connectivity|Join Promenade and Kinsley Ave to Francis St.|Olneyville - Valley|100
OV23|OV|23|NBC property near Davis Park|Green Infra|Daylight Pleasant Valley Stream through NBC property from Davis Park.|Olneyville - Valley|8
OV25|OV|25|Dean St @ Woonasquatucket River|Bike Access|Add bike lanes to Dean St/Bridge.|Olneyville - Valley|7
SLH1|SLH|1|Daniel Ave @ Plainfield St|Parking|Illegal parking at intersections of Daniel Ave and Plainfield St, School bus stop, multiple business, unsafe for kids and pedestrian. |Silver Lake - Hartford|77
SLH2|SLH|2|Pocasset St|Parking|Pocasset St should not have parking on both sides, its too narrow.|Silver Lake - Hartford|77
SLH3|SLH|3|Atwells Ave @ Manton Ave|Safety, Crossing|Skewed, no crossing, lot of traffic, needs more lighting.|Silver Lake - Hartford|Other intersection
SLH4|SLH|4|Daniel Ave @ Ethan St|crossing|Better crossing.|Silver Lake - Hartford|Other intersection
SLH5|SLH|5|Dorchester @ Daniels Ave|crossing|Better crossing.|Silver Lake - Hartford|Other intersection
SLH6|SLH|6|Mercy St @ Ethan St|crossing|Better crossing.|Silver Lake - Hartford|Other intersection
SLH7|SLH|7|Hartford Ave @ US Rt 6|Green Infrastructure|Needs more greenery.|Silver Lake - Hartford|Other intersection
SLH8|SLH|8|Hartford Ave @ Ponagansett Ave|Green Infrastructure|Needs more greenery.|Silver Lake - Hartford|Other intersection
SLH9|SLH|9|Hartford Ave @ Kinfield St|Green Infrastructure|Needs more greenery.|Silver Lake - Hartford|Other intersection
SLH10|SLH|10|Manton Ave @ Baltimore St|Green Infrastructure|Needs more greenery.|Silver Lake - Hartford|Other intersection
SLH11|SLH|11|Manton Ave @ Ortoleva Sr|Green Infrastructure|Needs more greenery.|Silver Lake - Hartford|Other intersection
SLH12|SLH|12|Manton Ave @ Delaine St|Green Infrastructure|Needs more greenery.|Silver Lake - Hartford|10
SLH13|SLH|13|Manto Ave @ Hyat St|Green Infrastructure|Needs more greenery.|Silver Lake - Hartford|Other intersection
SLH15|SLH|15|Glenbridge Ave|Greenery, safety|Needs sidewalks, greenery, more parking, speeding is a problem, no safe bike path crossing.|Silver Lake - Hartford|70
